,date,name,generic_name,comments,overall_ratings,years_use,uses,manufacturers,rating
686,2020-03-29,Sprintec,ethinyl estradiol/norgestimate,,6.0,Taken for less than 1 month,,"Teva Pharmaceuticals USA, Inc.",4 / 10
687,2020-03-29,Seasonique,ethinyl estradiol/levonorgestrel,"I took this med for about a week and a half.  The first few days, pleasantly, no side effects. Then I started having the worst insomnia, vivid nightmares, and a deep-bone back pain/body aches every night.

Fast forward to days 7-9, I still had all of the above, plus acne, panic attacks, racing thoughts, stomach cramps, diarrhea, depression, and hot flashes. At this point, I would rather have heavy, painful, periods! I am an attorney and cannot function like this.",5.0,Taken for less than 1 month,For Abnormal Uterine Bleeding:,"Teva Pharmaceuticals USA, Inc.",1 / 10
688,2020-03-28,Qvar RediHaler,beclomethasone,"Hi, Holy Moly! I had 3 Redi-Inhalers that stopped working...and OH, I didn't realize it.  Headline:  take the medicine out of this stupid plastic container and put in it in another, older push one...I had an albuteral device  sitting around.  I only use them when I have lung yak, which happens after having a cold/sinus thing.  A couple days, couple shots a day and I'm always fine.  I went a week + not getting better, oh and freaking out I might have Corona...ugh... Once I figured out issue was the Qvar redihaler device, and actually GOT medicine into my lungs, I felt an immediate improvement.  I can't believe these things are still being distributed!",2.0,Taken for 2 to 5 years,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
689,2020-03-27,Tri-Sprintec,ethinyl estradiol/norgestimate,Started on the Tri-Sprintec pill to treat my endometriosis. I need to stop having my period. In  order for my endometriosis to stop growing and stretching out to my other organs. I just finished LUPRON which was not that great and now I'm on the pill and haven't stopped bleeding. 10 days and still with a heavy flow ... in so much pain right now,5.0,Taken for less than 1 month,For Abnormal Uterine Bleeding:,"Teva Pharmaceuticals USA, Inc.",1 / 10
690,2020-03-27,Lessina,ethinyl estradiol/levonorgestrel,"This pill Lessina caused spotting every time I took it, and gave me a cyst with very bad cramps and often caused dizziness",5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
691,2020-03-27,fluticasone/salmeterol,,Symptom free 10 years on Advair. BCBS forced change to generic last month. Had to use rescue inhaler 2-3 times daily and severe urinary incontinence ( completely resolved 48 hours after generic stopped). Please take the time to report any adverse events to the FDA,6.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
692,2020-03-26,Sprintec,ethinyl estradiol/norgestimate,"Been on this  Sprintec pill on-and-off for about a year for secondary amenorrhea (period loss). Taking in an attempt to balance out missing hormones.

Trying to lose weight right now and  despite eating at what I calculate to be a slight caloric deficit, been steadily gaining weight, ~.3 pounds a day. So distressing to see the number on the scale go up every single day despite doing everything ""right"". Already gained 5 pounds in the past 2-ish months due to binge eating but suspect that a chunk of that weight gain was from the birth control. Praying to GOD that it's only water retention.

Also weight gain isn't in ""right places"" (though don't realy want to gain weight in butt or chest either) IT'S LITERALLY ALL IN MY STOMACH AND THIGHS??? Why?

Look like a  whale with a watermelon-ass stomach and elephant-ass thighs cries

Other stuff:
-Have acne, believe the pill worsens
-Don't think I get mood swings/depression
-Periods on the pill lighter than ""real"" periods back when I got periods",6.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",3 / 10
693,2020-03-25,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"I’m not great with keeping a SPECIFIC time but I always take this pill between 11:30am and 12pm. This pill should take about 3-6 months to regulate in your body. Within those months it’s normal to feel some mood swings, slight changes in period, &/or weight gain so don’t worry. Prior to this pill, my periods were 5-7 days tops. First period while being on this pill lasted 2 weeks, the second lasted a week. From the third month moving forward my periods last about 3-5 days tops with no ovulation. My period dates also shift a bit. I didn’t notice any mood swings until about the 6th month. To today I sometimes feel sad or depressed & I won’t know why. I also cry a lot easier now. It’s nothing I’m concerned over tho, not too bad, & the mood swings are easy for me to quickly get over. 
Positive side effect: my breasts have gotten noticeably bigger. My bf has also “finished” in me multiple times with no pregnancy outcome so the pill has been doing it’s job. I’d recommend",5.0,Taken for 6 months to 1 year,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
694,2020-03-24,ProAir RespiClick,albuterol,"I ditto every negative response to the use of this product. I thought I was using it wrong or something was wrong with me. The people who stated whoever made it has no clue what it’s like to have to suck in when you have an attack, is totally correct. Did they even have product testing and trials before putting in the market. What about the FDA quality control???",1.0,Taken for 6 months to 1 year,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",3 / 10
695,2020-03-24,Tri-Sprintec,ethinyl estradiol/norgestimate,"I was prescribed Tri Sprintec because I was having extremely long periods that lasted up to a month. It stopped my period immediately and I only had abnormal bleeding outside of the placebo week during the first month that I used it. However, I really don't believe that it's worth the side effects. I started getting acne when my skin has always been very clear. My skin has become incredibly sensitive to new products (and even some products that I've used for over a year with no issue). My periods have become regular, but I now get intense cramping during the whole week. Worst of all, though, is that I have become severely emotionally unstable. In between the depression spells and intense anger, I become manic. I am a teenager and I've gotten mood swings before, but never like this. It's almost unbearable. I plan on talking to my doctor soon so that I can find a different pill that works better for my needs.",5.0,Taken for 1 to 6 months,For Abnormal Uterine Bleeding:,"Teva Pharmaceuticals USA, Inc.",4 / 10
696,2020-03-23,ProAir RespiClick,albuterol,Used for 3 months and my condition became worse than better,1.0,Taken for 1 to 6 months,"For COPD, Acute:","Teva Pharmaceuticals USA, Inc.",1 / 10
697,2020-03-23,Junel 1/20,ethinyl estradiol/norethindrone,"Hello. I’ve been on Junel 1/20 for about 10 months now. It has been wonderful, besides the fact that my period won’t regulate. Before starting this pill I had a period every month around the same time and now I get it every other month only lasting about 4 days. On the months I don’t get it I spot for about 2 days. I’ve taken pregnancy tests even though I use this pill religiously as well as condoms and the results are negative. I don’t know if I should  switch to another because being sexually active it’s very reassuring getting a period every month knowing you’re not pregnant.",6.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",
698,2020-03-22,ProAir RespiClick,albuterol,I don't know whose idea this was. It dispenses the medicine in a powder instead of finer air size particles This obviously doesn't work very well because air can be breathed into your lungs whereas a powder gets stuck somewhere along the way from your mouth to your lungs. I can literally feel the powder getting stuck in my throat instead of going where it's supposed to. My expired pro air puff inhaler works better than this and I know because I've had to dig around to find it when I'm having an asthma attack since the respiclick does nothing.,1.0,Taken for 6 months to 1 year,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1 / 10
699,2020-03-21,Aviane,ethinyl estradiol/levonorgestrel,"My endometriosis was diagnosed 2 years ago. 1 year ago, I started experiencing pain during my ovulation too. My doctor recommended Aviane because has few side effects. The first weeks I experienced mild headaches and nausea but the symptoms didn't bother me. I'm regular but I didn't have my period during the 1st month of taking the pill. My doctor's recommendation, I would only take hormones and not the placebo pills at all over  for 3 months. After a few weeks, my period came, more days than usual with a lot of pain. It wasn't abundant but it wasn't spotting either. The pain during ovulation was not reduced, the headaches are the worst and the breast pain is bad. I have mood swings, not depressing (anger episodes) and I had a vaginal worst infection ever, something very strange for me. With this coronavirus around, I was unable to see my doctor. I decided to stop taking the pills, in my case the pain is worse than before. Maybe, pills needs more time to adjust, but not thanks.",6.0,Taken for 1 to 6 months,For Endometriosis:,"Teva Pharmaceuticals USA, Inc.",2 / 10
700,2020-03-20,Qvar RediHaler,beclomethasone,I thought I was using the redihaler wrong. I suck really hard but it’s delayed dispensing the medicine. By that time I’m out of breath. It only dispenses in my mouth. Not in my lungs. How can the company get away with this?  I am going to tell the doctors I work with to dispense another medicine to patients this thing is a scam.,2.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
701,2020-03-20,Qvar RediHaler,beclomethasone,The new Qvar redihaler device is a nightmare for asthma. It doesn’t work. You hear the medicine being pumped and slightly released when you close it. This makes no sense! I have 4 inhalers and they all do the same thing. With Covid 19 this is freaking me out as the design is faulty.,2.0,Taken for 1 to 6 months,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",4 / 10
702,2020-03-19,ProAir RespiClick,albuterol,My ProAir RespiClick doesn’t seem to work when I need it to. It doesn’t work for pretreatment when I exercise at all. It sometimes works as a rescue inhaler. Also when I pretreat for exercise it gives me a dry awful feeling in my chest and extreme chest pain when I finish.,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",2 / 10
703,2020-03-17,Tri-Sprintec,ethinyl estradiol/norgestimate,I started taking these  Tri-sprintec and I hate them I'm going to stop today I haven't stopped bleeding really heavily for more then 7 days now and I have so many blood clots that are huge too not to mention my cramps are worser then they were without birth control.,5.0,Taken for less than 1 month,For Abnormal Uterine Bleeding:,"Teva Pharmaceuticals USA, Inc.",1 / 10
704,2020-03-15,Tri-Sprintec,ethinyl estradiol/norgestimate,"I've been on tri-sprintec for 3 months. I used to have relatively severe hormonal, mostly cystic, acne. While I do still get some breakouts, I have definitely seen a significant reduction in the amount of new cystic acne that I get. So far it has worked well for me, but it might not be enough if I want to have completely clear skin.",5.0,Taken for 1 to 6 months,For Acne:,"Teva Pharmaceuticals USA, Inc.",8 / 10
705,2020-03-12,Qvar RediHaler,beclomethasone,"This new delivery mechanism of Qvar Redihaler  is rubbish - who designed this?  Certainly not someone who has to use it 2 x per day.  Due to the price, I’ve been purchasing my Qvar from outside the USA for a fraction of my insurance price - but I was running low and went back to a USA pharmacy. 

Again - who designed this??",2.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
706,2020-03-11,Plan B One-Step,levonorgestrel,"I took a Plan B on Jan 9th, within 24 hours of unprotected sex. IT DID NOT WORK! Needless to say, I'm 11 weeks pregnant now. I am aware that it isn't always 100% effective. I just thought I'd share my experience with the only time I've used Plan B.",8.0,,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",1 / 10
707,2020-03-11,ethinyl estradiol/levonorgestrel,ethinyl estradiol/levonorgestrel,"I wish I researched this birth control before taking it, because it has sucked the entire life out of me. I have been taking Portia for 5 months and after the first month I noticed I gained 15 pounds, but I exercised 4 to 5 times a week and ate a calorie deficit as I was just trying to lose a few pounds from Thanksgiving/Holiday eating. Before this BC my skin was dry/normal and I luckily never battled with acne, after a month on Portia my skin became so oily, I got cystic acne on my chin and my skin started peeling around my mouth. I will be changing BC next month. NEVER LET YOUR DOCTOR PRESCRIBE THIS BC TO YOU.",4.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",2 / 10
708,2020-03-10,Tri-Sprintec,ethinyl estradiol/norgestimate,"I was o Ortho-Tri-Cyclen previously without issue, but it's been discontinued. Tri-Sprintec is the closest equivalent generic. Let me tell you... it's positively changed my life. I no longer deal with monthly hormonal imbalance/fluctuation(s) (i.e. mood swings), extremely painful periods, or reoccurring ovarian cysts. I didn't break out in acne; my skin has been super clear throughout--not even a transition period where I broke out. My hair has gotten thicker, my boobs have grown at least a cup size, and I've got a nice curvy booty again (all of these are very welcomed). I've loved the additional 5lb weight gain. It's also decreased chronic joint pain I had/have due to other health conditions. Additionally, Tri-Sprintec has improved my mood and sense of wellbeing, while lowering anxiety. I feel like myself again for the first time in years -- no antidepressant or anxiety med has done what this birth control has for me. Best. birth. control. ever.",5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
709,2020-03-10,ParaGard,,"I decided to get this BC because it had no hormones and it is the worst decision I made. Before it, I always had normal period. However, after coil insertion my first period was so heavy that I ended up in accidents and emergencies, I was bleeding so heavy that all my clothes and shoes were soaked in blood and nothing stopped the bleeding till I got it out! I lost a lot of blood , I needed meds to stop the bleeding.",6.0,Taken for less than 1 month,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
710,2020-03-10,Kariva,desogestrel/ethinyl estradiol,"I’ve been on Kariva for almost 3 months and I really like it. I  spent a lot of time researching BC pills and with this I haven’t  experienced any negative side effects, other than the bloating right before my period, which is too be expected. Before birth control, my periods were beginning to become irregular and Kariva has kept it on track. Although the first week of starting Kariva...I became nauseated, had a slight headache, and even threw up. I called my gynecologist and was told it would ease off. It did just that! I feel good and I’m happy with it!",5.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",9 / 10
711,2020-03-09,Tri-Sprintec,ethinyl estradiol/norgestimate,This birth control worked amazing for me. I only got break through bleeding once which was annoying but after a month it went away. my face cleared up real nice and I didn't get my period until the last 3 days of the week. I never worried about getting pregnant. Without insurance at Walmart its only $9 a pack and I would get a 3 months supply for $27. I highly recommend.,5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",9 / 10
712,2020-03-09,Plan B One-Step,levonorgestrel,"I took plan b whenever I had an emergency situation and it totally destroyed my chances of having future pregnancies. If you are older, like 30 and over, I do not suggest that you use this pill if you plan on having babies in your future. You will never produce eggs again after using this pill. I was extremely fertile before ever trying this pill and when I wanted to get pregnant two years later, I couldn’t. I never had any miscarriages, but I had one after taking this pill. We already lose eggs as we age, and we produce less as we get older. My experience was when I was older  Plan b will make it so that you never produce any eggs ever again. But that was just my experience, I hope it helps you but this is just a warning based off of what I went thru.",8.0,,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",1 / 10
713,2020-03-09,Plan B One-Step,levonorgestrel,"I took the pill 2 days after having unprotected sex. My boyfriend came inside, so I was 100% sure I needed to take it. I took it 4 days after my period had ended. I am 5’0 & 95 pounds. I'm stating that because I think that played a big roll in the side affects I experienced. I started bleeding 5 days after taking the pill.  I had cramps for over two weeks straight. My whole body ached &
It made me fatigued. It was all severed.  I threw up twice within the first 3 days. 
The pill did work. It made my next period 21 days late. The stress was real. 
Do not stress it works ! Just be aware that the dose is heavy & every body reacts differently to it.",8.0,,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",8 / 10
714,2020-03-09,Sprintec,ethinyl estradiol/norgestimate,"I have been on Sprintec for about 3-4 years. Overall, there's definitely pros & cons for me personally. I was young when I started taking it, and it helped so much with cystic acne. It's done what it's supposed to as far as preventing pregnancy. BUT as I've gotten older and the longer I've taken it, I feel like I'm dealing with PMS or even PMDD (a more severe form of PMS) for more than half the month. It's terrible... The mood swings are terrible, weight change, fluid retention, acne (not cystic, but acne and dryness of skin), prone to yeast infections after periods, terrible fatigue, and I feel depressed and angry. All this with caring well for my health and my skin. Keep in mind this is my personal experience up to date!",6.0,Taken for 2 to 5 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",5 / 10
715,2020-03-09,ParaGard,,"I have the paraguard for almost 10 years now.  It was a while ago right after I had my son...during my six week postnatal check up I believe that it was inserted. I don't remember it hurting at all. The only complaint initially was a heavy period , which sometimes lasted 14 days, long and longer. That eased up about 4 to 5 months in. I haven't had any issues, regular period cramps, but not each month. Strings are there every month, no pain, no infections, no weight gain (aside from what laziness produced) nothing serious at all. My son is 10 next month so it works.",6.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
716,2020-03-09,ParaGard,,"I got Paragard inserted a year and 7 months ago because I needed a non hormonal BC. So far I haven’t gotten pregnant so it’s doing its job. I’m also not having emotional issues like how I did with hormonal BC so I’m rather pleased. 

The insertion process was uncomfortable but nor unbearable. It took about 15 minutes, most of which being prep. The insertion itself was maybe two minutes. I made sure to research a birth control specialist to ensure I was getting someone with a lot of experience as most issues occur upon insertion. I felt bloated and weird for a week or so after but nothing else was out of the ordinary. 

The first six months were so bad during my period. I got such bad cramps I had to call my doctor to ensure I wasn't having a complication.

After the six month timeframe my periods began going back to how they were pre paragard. My periods are now only four days long and not very heavy. 

Overall, I’m pleased with this as birth control.",6.0,Taken for 1 to 2 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
717,2020-03-09,Ajovy,fremanezumab,"So I’m two months into this medication and although it’s been great for my migraines, it’s caused me to feel very faint, increased vertigo and tingling in my face.  I ended up in the ER and everything came out normal and this has been the only new medication so I’m going to stop it and see if I feel better.  Needless to say, I’m so disappointed and sad.",6.0,Taken for 1 to 6 months,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",8 / 10
718,2020-03-08,levonorgestrel,levonorgestrel,"I took this pill after I had unprotected sex. I went in wanting to buy a Plan B the cashier asked me if I wanted to buy Aftera it’s cheaper she said it worked the same. I took the pill a few hours later I was having cramps, tender breast it felt like a cold anyways the pill worked for me but I got my period 6 days late I was panicking the whole time thinking i was pregnant I took a test came out negative. If I was to buy the morning pill again I would definitely go for Plan B no matter the price my period was always on time with it.",7.0,Taken for less than 1 month,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",10 / 10
719,2020-03-08,Kariva,desogestrel/ethinyl estradiol,Do Not Recommend... Kariva made my face breakout bad & I never previously had problems with acne. It also made me feel like The Incredible Hulk (imagine severe PMS that lasts all month long). I had to stop taking it. My moods were so severe that I wasn’t even able to finish 1 month on it.,5.0,Taken for less than 1 month,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
720,2020-03-07,Copaxone,glatiramer,"Dx w/ MS 9/26/2006 at age 43.  I started using Copaxone on 10/11/2006. 
At the time I started using Copaxone, it was a daily injection. I now use the 40mg / 3x a week injection.
I am proud to report I have never missed an injection ***100% compliance *** !
I work 60hrs a week and as long Copaxone is available I will never change.  No pills or infusion.
I hate needles so the auto-inject is a life saver. 
MS sucks but I feel I am on the right path.",8.0,Taken for 10 years or more,For Multiple Sclerosis:,"Teva Pharmaceuticals USA, Inc.",10 / 10
721,2020-03-05,ParaGard,,"I got my paragard inserted about a year ago and I paid nothing since my health insurance covered the cost. I rarely had cramps during my period before getting paragard. After the insertion, I do get some cramping at the time my period starts but it is manageable and I rarely take painkillers. But the procedure of inserting it was a pain and I experienced the worst cramping on the day of the insertion. I could still manage the pain with ibuprofen and naproxen. I noticed heavier menstrual bleeding and some spotting here and there for the first few months but they subside gradually. Overall, I am very happy with my decision to get paragard because it is worry-free! Never had a child before and not planning to have one until I take this out in 10 years.",6.0,Taken for 6 months to 1 year,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
722,2020-03-04,Tri-Sprintec,ethinyl estradiol/norgestimate,"It’s day 3 for me, on this medication and I have debilitating migraines. I’ve never had a migraine before, this is terrible. I can’t say whether it’s effective or not but I can definitely say it’s not worth the excruciating pain that I’m feeling in my head.",5.0,Taken for less than 1 month,For Acne:,"Teva Pharmaceuticals USA, Inc.",1 / 10
723,2020-03-04,Aviane,ethinyl estradiol/levonorgestrel,"I've been on Aviane for several months now. My period used to be like clockwork. Not with Aviane. I have a much-prolonged period. Sometimes it comes every 2-3 weeks. I cannot predict my period anymore, which I've never experienced with other pills (btw I've been on BC for 20+ years). On my next annual check-up, I am definitely asking my doctor to put me back to old ones.",6.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
724,2020-03-04,Kariva,desogestrel/ethinyl estradiol,Horrible would not recommend,5.0,Taken for less than 1 month,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
725,2020-03-04,Antabuse,disulfiram,Four months on Antabuse 250mg a day. Feel great back to the gym and eating healthy. No more cravings cause I know it's not an option. See how I feel in 6 months. Also attend Smart Recovery + Dharma recovery meetings.,8.0,Taken for 1 to 6 months,For Alcohol Dependence:,"Teva Pharmaceuticals USA, Inc.",10 / 10
726,2020-03-03,Jolivette,norethindrone,"I've only been on this medication for two days and already have severe itching on my feet, ankles and now wrist. I looked up the side effects and itching and rash were on the list. The first day I took the pill I saw a faint hint of pink after going to the bathroom. And I also started this pill after my cycle went off. I'm discontinuing this pill today because the itching is unbearable!",5.0,Taken for less than 1 month,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
727,2020-03-03,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"I am almost through my third month of Junel Fe, and I feel a lot better than I did when I was taking Taytulla. On Taytulla, I developed a phobia, had anxiety attacks regularly, and experienced the worst depression of my life! After taking a year off from birth control, I am taking this and my periods are very light, my cramps are not as painful, my acne is GONE, and no depression and minimal anxiety.",4.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",9 / 10
728,2020-03-03,Sprintec,ethinyl estradiol/norgestimate,"I’m on this birth control Sprintec right now. I’m 5’4, 135 pounds, and I haven’t had a severe problem with it yet. It has increased my appetite, causing me to gain 3-4 pounds. If you live a pretty active lifestyle (working out 2-4 days a week) you shouldn’t gain much weight. It did a REALLY good job keeping my period 6-7 days long unlike my last birth control.",6.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",8 / 10
729,2020-03-03,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"I’ve been on Junel Fe for about 5 months and haven’t found the relief I was searching for. First month went on without a breeze, but since then it’s been a disaster. My cramps have lessened but still are a nuisance and require medication to allow me to function proper. My cycle is completely irregular, I haven’t had period while on my placebo pills the entire time I’ve been on Junel. I bleed on my active pills each month and it’s still not regular or consistent. Which terrifies me thinking my birth control is not effective. My mood is ALL over the place and my anxiety has been through the roof. My skin has sorta cleared up but I contribute that to me not wearing makeup anymore. I contacted my doctor to change pills. This was my first time using BC and this experience was far from what I wanted. I kept giving it time so my body could adjust however I didn’t want to suffer anymore. Hopefully I can find something that really fits my needs and doesn’t make things worse.",4.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",2 / 10
730,2020-03-03,Qvar RediHaler,beclomethasone,"I have been using Qvar for asthma maintenance for years.  They changed the dispensing system a while ago. IT IS A NIGHTMARE!  The dispensing works occasionally, but then it stops.  I called the company TEVA and then sent me 2 new dispensers. same problem.  It works a few times, I try to unclog it and still nothing.  The product is an oxymoron. How are you supposed to suck the product into your lungs when you can't breathe deeply to begin with.  Ridiculous creation by people who do not have breathing issues.  IDIOTS!  I am contacting the FDA to do something.",2.0,Taken for 6 months to 1 year,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
731,2020-03-02,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"I am a healthy 20 yr old. I've only been on birth control for a little over a year now. Previous to Junel Fe 1.5/30 I was on Blisovi. But last time I went to get my prescription filled they gave me Junel instead. I've just completed my second pack. In this second month I've really been struggling, these past couple of weeks I am nauseated every day, usually at night. I've lost my appetite completely, I rarely eat anymore. This is REALLY starting to worry me. I'm losing weight, my breast size has increased. I have terrible anxiousness and I feel so in my head, depressed with scary dark thoughts (not like me at ALL). I also feel very detached/unemotional. TMI I don't think I'm pregnant but I've been having irregular periods, they come close to the middle of the pack instead of during the inactive pills. My periods are all dark blood (black and brown) and usually very clotted looking. I'm not bashing this pill I just don't think it's really agreeing with my body. I hope this helps someone!",5.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",4 / 10
732,2020-03-02,Tri-Sprintec,ethinyl estradiol/norgestimate,"Third month of Tri Sprintec for heavy periods and I have not had very much side effects other than a bit of breast tenderness that went away after a month, My periods have gotten significantly better and I have been complimented on my skin after years and years of acne (I’m 39) it’s been kinda nice to compliments on my skin. Everyone is different and don’t let another’s experience keep you from trying something new, you never know if it’s going to be right for you.",5.0,Taken for 1 to 6 months,For Abnormal Uterine Bleeding:,"Teva Pharmaceuticals USA, Inc.",10 / 10
733,2020-03-02,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,Took this birth control Nortrel for about 8 years and gained weight on it ( went from 115lb to 137lb in two years) and had to stop it due to high blood pressure. Had bad acne and oily skin also. Mad me extremely moody and decreased my sex drive sometimes. The only positive was it kept me from getting pregnant.,3.0,Taken for 5 to 10 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
734,2020-03-02,ParaGard,,"The side effect symptoms started 3 months after insertion of Paragard, roughly when I started to wean from breast feeding and my cycle returned. I got insane IBS symptoms out of nowhere, nausea insomnia, and panic attacks. The symptoms lasted about 4 weeks before I made the correlation and decided to get the IUD removed. 3 weeks after getting it removed I felt back to normal. I went back to my doctor to discuss other birth control alternatives and she convinced me that the paragard did not cause my symptoms and convinced me to get it back in. I started to think that maybe my side effect symptoms had been from weaning from breast feeding anyway. I agreed to have it replaced. 3ish weeks later all of those same symptoms came back, in addition to a 10 day period, a metallic taste in my mouth and acne. I got the IUD out  yesterday and am waiting for the side effects to go away. Never again will I put anything made of copper in me.",6.0,,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",2 / 10
735,2020-03-02,Nora-Be,norethindrone,"I only have two side effects, but those two happen to be extremely annoying - I bleed for two weeks at a time, and I'm irregular. Sometimes my cycle is over 30 days, sometimes it's only 15. Hoping these symptoms get better with time, because I can't live like this long term.",5.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",3 / 10
736,2020-03-02,ParaGard,,"I used to never have cramps or PMS, but after receiving the Paragard IUD, I began to have major PMS, to such a ridiculous extent that I had to plan social events around that week. The cramps have been even worse. I find myself doubled over in pain, even at work. I did my research and picked this IUD because it was NON-hormonal, and yet I’ve never felt so miserably hormonal in all my life. I’ve been dealing with it for two years because my insurance company won’t cover the removal.",6.0,Taken for 2 to 5 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",3 / 10
737,2020-03-01,Sprintec,ethinyl estradiol/norgestimate,"I had been on Sprintec since 2016 and I never had any issues with it until recently. No nausea, my periods were lighter, less cramping, and 100% regular. No crazy mood swings like others mentioned, I actually felt my mood had greatly stabilized. But there is one VERY important and severe possible side effect of the estrogen that's in the pill, which is the reason I had to go off it. The estrogen increases risks of blood clots, and it contributed to me developing DVT in BOTH legs after a long flight. I've also had high blood pressure for over a year from the pill. I'm only 26 and otherwise very healthy, and my Dr confirmed the pill is a big reason I developed these serious medical issues. I've  been off the pill for a month and my blood pressure is already back to normal, but I miss how easy my periods were while on it. Sprintec was so perfect for me before the DVT, but now I can never go back on it due to the risk. If not for that, I'd continue it until I want kids.",6.0,Taken for 2 to 5 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",7 / 10
738,2020-03-01,Ajovy,fremanezumab,"It has changed my life, other than being tired first 24 hours and mild hair loss, this drug has given me my life back ..headaches seem to be ""wanna be migraines "" but just can't break through",6.0,Taken for 1 to 6 months,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",10 / 10
739,2020-03-01,fluticasone/salmeterol,,"I had a really bad asthma flare up recently. Albuterol by itself was not cutting it. Since starting this daily medication, I've found that I don't need the Albuterol as much. It took some time for the complete benefits but, I'm satisfied!",6.0,Taken for 1 to 6 months,"Advair Diskus (fluticasone / salmeterol) for Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",9 / 10
740,2020-03-01,levonorgestrel,levonorgestrel,"First of all, I just want to start off by saying this emergency contraception works GOOD. Some of the reviews were saying that this “aftera” pill is cheap and doesn’t work, well let me tell you all that’s false. Aftera has worked wonders for me about 13 times, I’ve taken this pill various times and it’s worked every time (regardless if you’re ovulating or not). Price doesn’t always matter as long as it’s a reasonable price. I started using aftera because plan b was out of stock, personally I prefer aftera over plan b. They both contain 1.5 mg of levonorgestrel so there’s really no difference besides pricing. But for some reason plan b always makes me spot, cramp up, and nauseous. Ladies don’t let bad reviews get to you, everyone’s situation is different and it also depends on how long after sex you took the pill.",7.0,Taken for less than 1 month,For Emergency Contraception:,"Teva Pharmaceuticals USA, Inc.",10 / 10
741,2020-03-01,Sprintec,ethinyl estradiol/norgestimate,I've been taking Sprintec for about a year now. The only issue I've had is that I've had breakthrough bleeding twice now. I just let myself have a period the month that happens and it goes back to normal. I'm good with 2 periods a year but none would be better.,6.0,Taken for 1 to 2 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",9 / 10
